Country,Time,GDP (Current $),GDP Growth (Yrly %),GDP per Capita (Current $)
Philippines,2023.0,437146000000.0,5.545851171,3804.87258
Poland,2021.0,689170000000.0,6.927182661,18635.51049
Poland,2022.0,695607000000.0,5.255456974,18891.21212
Poland,2023.0,809201000000.0,0.138832755,22056.66617
Portugal,2021.0,256056000000.0,5.558757523,24711.45101
Portugal,2022.0,256899000000.0,6.985841938,24620.51956
Portugal,2023.0,289114000000.0,2.526281108,27331.20949
Romania,2021.0,286578000000.0,5.545709626,14986.78549
Romania,2022.0,296354000000.0,3.965307663,15557.88262
Romania,2023.0,350776000000.0,2.404271779,18404.27309
Russian Federation,2021.0,1843390000000.0,5.614290376,12521.52246
Russian Federation,2022.0,2266030000000.0,-2.069711525,15445.24219
Russian Federation,2023.0,2021420000000.0,3.6,13817.0459
Rwanda,2021.0,11069280650.0,10.85796776,828.8330328
Rwanda,2022.0,13316160895.0,8.157733085,975.4693159
Rwanda,2023.0,14097768472.0,8.241287695,1010.268929
Saudi Arabia,2021.0,874156000000.0,5.07511035,28396.08642
Saudi Arabia,2022.0,1108570000000.0,7.485984291,34454.19577
Saudi Arabia,2023.0,1067580000000.0,-0.754914811,32093.9623
Senegal,2021.0,27520784130.0,6.5440011,1598.10677
Senegal,2022.0,27619479060.0,3.825863637,1564.745221
Senegal,2023.0,30848333084.0,4.584061405,1706.44218
Serbia,2021.0,66159884073.0,7.949056505,9680.527981
Serbia,2022.0,66797564758.0,2.630986444,10022.96885
Serbia,2023.0,81342660752.0,3.847471128,12281.50585
Seychelles,2021.0,1487173795.0,0.552281631,14982.91115
Seychelles,2022.0,2057968520.0,14.97685133,17167.19098
Seychelles,2023.0,2141450171.0,3.161714355,17879.23965
Slovak Republic,2021.0,120592000000.0,5.72698854,22138.19498
Slovak Republic,2022.0,115929000000.0,0.449673875,21342.76667
Slovak Republic,2023.0,132908000000.0,1.378337272,24491.37719
Slovenia,2021.0,61529280461.0,8.389650321,29187.36938
Slovenia,2022.0,59927702746.0,2.699237557,28373.83823
Slovenia,2023.0,69148468417.0,2.112591843,32610.11092
Solomon Islands,2021.0,1522794913.0,2.564349754,1996.869768
Solomon Islands,2022.0,1566360686.0,2.402481436,2005.413993
Solomon Islands,2023.0,1633319401.0,3.079769815,2041.636491
South Africa,2021.0,420887000000.0,4.955032594,6843.399419
South Africa,2022.0,406920000000.0,1.91147996,6523.410978
South Africa,2023.0,380699000000.0,0.698485195,6022.542542
Spain,2021.0,1461240000000.0,6.683144185,30817.68286
Spain,2022.0,1446500000000.0,6.179312226,30287.36576
Spain,2023.0,1620090000000.0,2.675663493,33509.0128
Sri Lanka,2021.0,88609324902.0,4.207476495,3999.337647
Sri Lanka,2022.0,74144870023.0,-7.346791236,3342.719896
Sri Lanka,2023.0,84356863744.0,-2.298010562,3827.964956
St. Lucia,2021.0,1867185185.0,11.59947362,10459.13212
St. Lucia,2022.0,2342703704.0,20.38676757,13103.76217
St. Lucia,2023.0,2430148148.0,2.21007266,13554.66519
Suriname,2021.0,3107923198.0,-2.435385836,5029.848385
Suriname,2022.0,3791603200.0,2.406222356,6084.438767
Suriname,2023.0,3455146281.0,2.539566754,5494.074094
Sweden,2021.0,637187000000.0,5.937508573,61174.96802
Sweden,2022.0,579896000000.0,1.459288508,55296.93715
Sweden,2023.0,584960000000.0,-0.310670185,55516.83648
Switzerland,2021.0,813409000000.0,5.391888041,93446.43445
Switzerland,2022.0,818427000000.0,2.568328178,93245.79521
Switzerland,2023.0,884940000000.0,0.716066869,99564.71003
Tajikistan,2021.0,8937805347.0,9.39999955,896.7480534
Tajikistan,2022.0,10713525200.0,8.000000338,1052.179495
Tajikistan,2023.0,12060602009.0,8.299999217,1160.81187
Tanzania,2021.0,70655628148.0,4.321384295,1159.856567
Tanzania,2022.0,75769974505.0,4.566005764,1207.853027
Tanzania,2023.0,79062403821.0,5.069523532,1224.489624
Thailand,2021.0,506256000000.0,1.568181765,7058.0695
Thailand,2022.0,495645000000.0,2.462769341,6909.359975
Thailand,2023.0,514969000000.0,1.887257251,7182.025258
Timor-Leste,2021.0,3624889700.0,5.363126627,2684.827044
Timor-Leste,2022.0,3208594000.0,-20.58424404,2343.245247
Timor-Leste,2023.0,2079916900.0,-18.11781338,1502.519638
Togo,2021.0,8342243646.0,5.990876104,939.6133738
Togo,2022.0,8169476149.0,5.759542515,898.7581544
Togo,2023.0,9171261838.0,6.407922156,985.6975126
Tonga,2021.0,518228012.1,0.362601972,4912.579506
Tonga,2022.0,518180042.2,-2.309860027,4933.074791
Tonga,2023.0,,,
Turkiye,2021.0,819865000000.0,11.43939569,9743.212778
Turkiye,2022.0,907118000000.0,5.533427875,10674.50416
Turkiye,2023.0,1118250000000.0,5.111168185,13105.65857
Uganda,2021.0,40529788749.0,3.536580341,882.7917175
Uganda,2022.0,45565333211.0,4.588021922,963.0673141
Uganda,2023.0,48768955863.0,5.336972955,1002.309139
United Kingdom,2021.0,3143320000000.0,8.575950905,46896.86624
United Kingdom,2022.0,3114040000000.0,4.839085147,45935.92765
United Kingdom,2023.0,3380850000000.0,0.339966158,49463.85546
United States,2021.0,23681200000000.0,6.055052933,71318.30736
United States,2022.0,26006900000000.0,2.51237532,78035.17536
United States,2023.0,27720700000000.0,2.887556009,82769.41221
Uruguay,2021.0,60760798596.0,5.561892793,17888.21151
Uruguay,2022.0,70164683290.0,4.707257615,20691.9739
Uruguay,2023.0,77240830877.0,0.367475176,22797.81117
