Country,Time,GDP (Current $),GDP Growth (Yrly %),GDP per Capita (Current $),Access to clean fuels and technologies for cooking (% of population) ,Access to electricity (% of population) ,"Access to electricity, rural (% of rural population) ","Access to electricity, urban (% of urban population) ",Electric power consumption (kWh per capita) ,"Labor force, female (% of total labor force) ","Labor force, total ","Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative) ","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative) ","Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative) ","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative) ","Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative) ","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative) ","Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative) ","Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative) ",Fossil fuel energy consumption (% of total) ,Gross national expenditure (% of GDP) ,Interest payments (% of revenue) ,"Inflation, consumer prices (annual %) "
Chile,2022,302117000000.0,2.058740081,15451.13196,100.0,100.0,100.0,100.0,4422.38228375379,42.0657679545945,9670728.0,21.0626277923584,83.1999969482422,86.1100006103516,28.1240940093994,28.6751441955566,89.7600021362305,91.4800033569336,19.5457077026367,70.08,103.957566068883,3.81839448820788,11.643866711056
Chile,2023,335533000000.0,0.218780667,17067.81362,,100.0,100.0,100.0,4240.07831593276,42.7080676987401,9991796.0,22.1902008056641,85.9587631225586,88.4657974243164,30.2899608612061,29.9828987121582,91.4278717041016,93.0600357055664,20.9349632263184,66.66,98.6936209445554,4.62593321269895,7.58168251407962
China,2021,17820500000000.0,8.448469417,12617.5051,85.9,100.0,100.0,100.0,5847.80226004701,45.114320356218,781187865.0,,,,,,,,,87.16,97.0620027287315,3.4419404251668,0.981015135544882
China,2022,17881800000000.0,2.95066993,12662.58267,87.8,100.0,100.0,100.0,6112.13553560996,45.0507108837416,770113477.0,,,,,,,,,86.72,96.5881911119158,,1.97357555739051
China,2023,17794800000000.0,5.249557864,12614.06174,,100.0,100.0,100.0,,45.0819446527757,774607590.0,,,,,,,,,,97.7167870019781,,0.234836828893051
Colombia,2021,318525000000.0,10.80119819,6222.621644,93.1,100.0,100.0,100.0,1569.1710661367,41.0345266672094,25915910.0,,59.2900009155273,56.6599998474121,,,81.7099990844727,80.3499984741211,,76.07,107.66513448384,12.7782491036127,3.49505757399448
Colombia,2022,345330000000.0,7.288883887,6674.596019,93.6,100.0,100.0,100.0,1548.65063830136,41.1994721378583,25830229.0,15.8202447891235,61.2900009155273,58.8600006103516,28.1619262695312,24.6931610107422,82.3499984741211,80.8499984741211,16.5422592163086,73.8,107.609177087082,15.4737835773436,10.1772313546166
Colombia,2023,363494000000.0,0.610409566,6947.359287,,98.7,94.8,100.0,,41.5531535933636,26490194.0,15.9245853424072,62.1794776916504,59.7525825500488,28.6159324645996,25.2227935791016,82.8813934326172,81.5824127197266,16.9652328491211,75.26,104.819206617919,13.8179876064218,11.7359044948689
"Congo, Dem. Rep.",2021,55328482784.0,6.200154011,558.0340773,4.3,20.8,1.0,43.8,133.667602188594,48.1367974074203,35154175.0,,,,,,,,,2.86,99.7096522903166,0.557011168639761,
"Congo, Dem. Rep.",2022,65801547620.0,8.924447626,642.6122658,4.3,21.5,1.0,45.3,130.667931495784,48.3032581586622,36183996.0,,,,,,,,,3.97,102.73276735231,0.514036894677786,
"Congo, Dem. Rep.",2023,66383287003.0,8.560862509,627.5021817,,22.1,1.0,55.6,,48.4121572363674,37296766.0,,,,,,,,,,102.769285406614,,
Costa Rica,2021,64960725734.0,7.935762247,12838.11854,96.2,100.0,100.0,99.8,2111.26982909841,41.4550240016251,2490873.0,,50.189998626709,48.0800018310547,,,83.75,83.7600021362305,,50.17,98.4289282487777,16.0641742418659,1.72647755109241
Costa Rica,2022,69243626029.0,4.55149178,13625.90085,96.4,100.0,100.0,100.0,2125.2458545407,41.6819368958279,2504874.0,,51.2799987792969,48.7799987792969,19.9728775024414,17.1105937957764,83.7799987792969,84.0199966430664,,50.71,97.4171403066588,15.2927261286011,8.27477490232654
Costa Rica,2023,86497941439.0,5.111921832,16942.02681,,100.0,100.0,100.0,2067.75992674603,39.5460198659567,2340587.0,,52.1040725708008,52.9080810546875,20.8385334014893,18.2981643676758,85.8396224975586,86.4324188232422,,51.55,94.6407350098788,15.8726448263341,0.525193508693455
Cote d'Ivoire,2021,72794636654.0,7.063329102,2455.981276,40.3,71.1,45.2,94.9,308.099910201629,42.7302232194757,11440310.0,6.69000005722046,20.0100002288818,32.6800003051758,6.76000022888184,12.3900003433228,25.7800006866455,38.9900016784668,3.07999992370605,35.9,100.521497102363,14.8113398704174,4.09195189692863
Cote d'Ivoire,2022,70173140101.0,6.217850913,2308.706547,42.6,72.0,45.3,95.0,323.704535370651,42.950064628661,11882499.0,6.70274448394775,17.9306621551514,33.9326934814453,4.91649055480957,10.1925811767578,36.8502960205078,53.1010208129883,3.06490612030029,37.58,104.377934441899,17.4439105528207,5.27616724262846
Cote d'Ivoire,2023,78875489245.0,6.2,2530.846593,,72.4,48.0,93.9,,43.0860814631414,12216126.0,,,,,,,,,,103.534001642215,18.0465156613231,4.38711707003279
Croatia,2021,69006802299.0,12.63170033,17789.93047,100.0,100.0,100.0,100.0,4506.59593331341,46.0777956544586,1724158.0,16.9339694976807,93.0956039428711,97.1693420410156,24.4859180450439,21.0686283111572,98.8520202636719,99.5971450805664,20.7776508331299,66.42,102.749020069014,4.45653656154736,2.55450699642041
Croatia,2022,71198635102.0,7.287936432,18466.09555,100.0,100.0,100.0,100.0,4475.52041281852,46.6235086140876,1740579.0,16.84619140625,93.5088195800781,97.4888687133789,24.6147575378418,20.6884708404541,99.0373687744141,99.5650177001953,21.03955078125,67.97,106.219914563597,3.84002783469285,10.7805806758686
Croatia,2023,84393795502.0,3.302544881,21865.45628,,100.0,100.0,100.0,,47.1955355395009,1731721.0,,,,,,,,,,101.832600858672,4.19525733263229,7.9412817758683
