Country Name,Country Code,Time,Time Code,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990) [EN.GHG.CO2.ZG.AR5],Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e) [EN.GHG.CO2.MT.CE.AR5],Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita) [EN.GHG.CO2.PC.CE.AR5],Renewable energy consumption (% of total final energy consumption) [EG.FEC.RNEW.ZS],"Access to electricity, rural (% of rural population) [EG.ELC.ACCS.RU.ZS]","Access to electricity, urban (% of urban population) [EG.ELC.ACCS.UR.ZS]",Forest area (sq. km) [AG.LND.FRST.K2]
Colombia,COL,2023,YR2023,89.15882277,100.8627,1.927761453,..,..,..,..
Comoros,COM,2021,YR2021,765.9033079,0.3403,0.415926197,41.2,82.9,100,324.8
Comoros,COM,2022,YR2022,707.1246819,0.3172,0.380250016,39.3,82.9,100,320.4
Comoros,COM,2023,YR2023,708.3969466,0.3177,0.37359461,..,..,..,..
"Congo, Dem. Rep.",COD,2021,YR2021,4.187937789,3.5103,0.035404315,96.3,1,43.8,1250538.633
"Congo, Dem. Rep.",COD,2022,YR2022,15.51703669,3.892,0.038008938,..,1,45.3,1239524.911
"Congo, Dem. Rep.",COD,2023,YR2023,12.77157782,3.7995,0.035915584,..,..,..,..
"Congo, Rep.",COG,2021,YR2021,194.351017,7.0188,1.191205365,71.4,12.4,67,219310
"Congo, Rep.",COG,2022,YR2022,223.7408262,7.7196,1.279116317,..,12.4,67.5,219160
"Congo, Rep.",COG,2023,YR2023,204.08052,7.2508,1.172721149,..,..,..,..
Costa Rica,CRI,2021,YR2021,175.0960615,8.0185,1.584687553,34.2,100,99.8,30512.4
Costa Rica,CRI,2022,YR2022,177.54906,8.09,1.591966571,..,100,100,30676.1
Costa Rica,CRI,2023,YR2023,194.1299575,8.5733,1.679220061,..,..,..,..
Cote d'Ivoire,CIV,2021,YR2021,388.3213889,14.5134,0.489660232,58.2,45.2,94.9,27238.267
Cote d'Ivoire,CIV,2022,YR2022,396.7295851,14.7633,0.485714724,..,45.3,95,26109.389
Cote d'Ivoire,CIV,2023,YR2023,384.926483,14.4125,0.462448181,..,..,..,..
Croatia,HRV,2021,YR2021,-28.96018666,17.7201,4.568235833,34.1,100,100,19416.1
Croatia,HRV,2022,YR2022,-30.073084,17.4425,4.523891099,..,100,100,19441.1
Croatia,HRV,2023,YR2023,-30.01695805,17.4565,4.522777241,..,..,..,..
Cuba,CUB,2021,YR2021,-45.29725507,21.1483,1.901454824,20.9,100,100,32420
Cuba,CUB,2022,YR2022,-46.07505354,20.8476,1.88498547,..,100,100,32420
Cuba,CUB,2023,YR2023,-42.92092167,22.067,2.002462629,..,..,..,..
Curacao,CUW,2021,YR2021,..,..,..,2.8,100,100,0.7
Curacao,CUW,2022,YR2022,..,..,..,..,100,100,0.7
Curacao,CUW,2023,YR2023,..,..,..,..,..,..,..
