Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Burundi,BDI,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,1.00723233648839,-1.95150612882267,..,..
Burundi,BDI,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,175.8240158029,150.932567422257,..,..
Cabo Verde,CPV,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,-0.313643238287369,7.28378979394849,..,..
Cabo Verde,CPV,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1565161655.98276,1658457518.59295,..,..
Cabo Verde,CPV,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,2574.93971191641,2921.80933245521,..,..
Cabo Verde,CPV,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,1319208562.84729,1509549869.80365,..,..
Cabo Verde,CPV,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,-0.333295416847378,6.87471309798262,..,..
Cabo Verde,CPV,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,3055.01117644383,3210.02754015386,..,..
Cambodia,KHM,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.29507827884163,-0.971486040677789,..,..
Cambodia,KHM,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,14371715201.8832,22808826440.8048,..,..
Cambodia,KHM,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,939.945638068584,1291.77889367697,..,..
Cambodia,KHM,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,14472128681.7365,21927048933.8355,..,..
Cambodia,KHM,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,1.77508784739486,-2.42317223089367,..,..
Cambodia,KHM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,933.423915213085,1343.72667633843,..,..
Cameroon,CMR,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,7.85134878574037,-1.11101935638754,..,..
Cameroon,CMR,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,29222207040.0858,37065481265.8915,..,..
Cameroon,CMR,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,1123.69878060604,1206.61560686483,..,..
Cameroon,CMR,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,24788674864.3998,32476973673.3968,..,..
Cameroon,CMR,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,4.63673231867257,-3.70193688320866,..,..
Cameroon,CMR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1324.67582866725,1377.09223221176,..,..
Canada,CAN,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,2.19036517668904,8.88043011274962,..,..
Canada,CAN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1474341898956.82,1605547834422.99,..,..
Canada,CAN,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,36484.8074852345,36717.2160856078,..,..
Canada,CAN,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,1292805076429.09,1404061349572.25,..,..
Canada,CAN,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,1.17211451941492,8.27900596199962,..,..
Canada,CAN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,41608.0361468204,41986.2328595884,..,..
Cayman Islands,CYM,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,..,..,..,..
Cayman Islands,CYM,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..,..,..
Cayman Islands,CYM,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..
