Country,Time,Fossil fuel energy consumption (% of total),Electric power consumption (kWh per capita),Access to electricity (% of population),Gross national expenditure (% of GDP),Interest payments (% of revenue),GDP (Current $),GDP Growth (Yrly %),"Inflation, consumer prices (annual %)"
Cambodia,2021,55.82,725.390524089204,82.5,99.7543374472379,1.85235096785957,36790163687.0,3.089842841,2.92073477592949
Cambodia,2022,54.93,813.232441120437,92.3,100.512003543664,3.9506008539935697,39994532960.0,5.103368887,5.34370264895437
Cambodia,2023,41.325,2920.94086874386,95.0,99.6994048931773,1.55981498128824,42335646896.0,4.960066589,2.12746796594194
Canada,2021,76.34,14782.8716127233,100.0,99.9745741467541,5.21937669967861,2007470000000.0,5.286956891,3.39519318527528
Canada,2022,76.91,14591.314180806,100.0,99.8449146177304,6.14076007081138,2161480000000.0,3.819866339,6.80280115341613
Canada,2023,76.78,14148.3211494028,100.0,100.438395098439,7.43937006784603,2142470000000.0,1.248927304,3.87900159788426
Chile,2021,70.71,4306.7208858565,100.0,100.891280249983,3.54372318434982,315515000000.0,11.33395707,4.52456838259144
Chile,2022,70.08,4422.38228375379,100.0,103.957566068883,3.81839448820788,302117000000.0,2.058740081,11.643866711056
Chile,2023,66.66,4240.07831593276,100.0,98.6936209445554,4.62593321269895,335533000000.0,0.218780667,7.58168251407962
China,2021,87.16,5847.80226004701,100.0,97.0620027287315,3.4419404251668,17820500000000.0,8.448469417,0.981015135544882
China,2022,86.72,6112.13553560996,100.0,96.5881911119158,2.3486743581906904,17881800000000.0,2.95066993,1.97357555739051
China,2023,86.94,5979.968897828485,100.0,97.7167870019781,2.3486743581906904,17794800000000.0,5.249557864,0.234836828893051
Colombia,2021,76.07,1569.1710661367,100.0,107.66513448384,12.7782491036127,318525000000.0,10.80119819,3.49505757399448
Colombia,2022,73.8,1548.65063830136,100.0,107.609177087082,15.4737835773436,345330000000.0,7.288883887,10.1772313546166
Colombia,2023,75.26,2715.188536430423,98.7,104.819206617919,13.8179876064218,363494000000.0,0.610409566,11.7359044948689
