Country,Time,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",Electric power consumption (kWh per capita),"Labor force, female (% of total labor force)","Labor force, total","Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)"
Bosnia and Herzegovina,2022,41.1,100.0,100.0,100.0,3772.15191453325,41.8930401136452,1355798.0,11.8900003433228,86.1900024414062,96.1999969482422,15.1499996185303,15.1300001144409,92.5999984741211,98.3000030517578,12.6700000762939
Bosnia and Herzegovina,2023,31.799999999999997,100.0,100.0,100.0,364.560952408552,42.4571473743846,1366194.0,10.8658266067505,63.0877456665039,82.0562591552734,20.1759243011475,18.240665435791,86.7958679199219,96.2983932495117,11.6607990264893
Botswana,2021,65.4,73.7,25.0,93.1,1455.7925845357,46.2925139863245,1036012.0,9.36865234375,69.9438781738281,72.5497207641602,29.1568965911865,30.3034534454346,90.0067291259766,88.1280517578125,8.30223751068115
Botswana,2022,66.0,75.9,25.0,95.5,1522.19852354121,46.6250638214801,1065472.0,9.25415325164795,69.2225341796875,70.92333984375,29.2117595672607,30.71120262146,89.7554168701172,89.1276550292969,9.74098491668701
Botswana,2023,98.95,76.0,25.0,97.7,3786.92178431091,46.7765184777595,1146757.0,10.0491437911987,71.3804473876953,72.5911178588867,29.4269771575928,32.0718688964844,90.8038482666016,88.981689453125,9.29792785644531
Brazil,2021,96.5,99.5,97.3,99.8,2723.96659104663,43.0075756040014,104085430.0,36.5941982269287,67.4000015258789,64.9700012207031,50.36471366882325,50.987607955932646,86.5699996948242,85.4499969482422,34.78612327575685
Brazil,2022,96.5,100.0,97.3,100.0,2787.76089640442,43.4208190589127,106610573.0,33.4499998092651,67.870002746582,65.0199966430664,69.68542861938475,67.99619293212895,86.4300003051758,85.120002746582,36.8650007247925
Brazil,2023,100.0,99.8,99.0,99.9,2916.48609397384,43.3245861425663,106356432.0,22.7405090332031,69.9547119140625,67.5517501831055,43.9763126373291,40.83862400054935,86.1259841918945,84.0486679077148,25.8198652267456
Bulgaria,2021,72.5,99.8,99.5,99.9,5261.46440772794,46.1755006342007,3252125.0,22.2995719909668,95.1631698608398,96.7388916015625,30.1665000915527,22.6712970733643,98.9873733520508,99.3213653564453,29.8617286682129
Bulgaria,2022,63.25,100.0,99.6,100.0,5387.96542212904,46.5604115763303,3217289.0,22.1036491394043,95.7140884399414,97.1052017211914,30.5550937652588,22.5017166137695,99.0603713989258,99.2939758300781,30.2848815917969
Bulgaria,2023,36.3,100.0,100.0,100.0,429.98326378350055,46.7902525629092,3131695.0,5.7214431762695295,30.0810422897339,36.292398452758746,10.783491611480704,8.873751640319824,47.9072380065918,58.509677886962905,4.258466839790345
Burkina Faso,2021,15.8,19.0,100.0,67.6,129.709864992171,44.462168837473,6176046.0,3.9516499042511,7.78822994232178,16.0786800384521,44.3553409576416,43.0216541290283,16.136360168457,27.6204204559326,1.17656004428864
Burkina Faso,2022,17.2,19.5,3.4,60.5,131.191746177691,44.3312480834503,6091676.0,3.08928656578064,10.0773801803589,16.5051612854004,1.2442010641098,3.54773354530334,18.5023212432861,32.9421081542969,1.12409460544586
Burkina Faso,2023,83.0,21.7,62.5,97.75,3229.5874670254,44.3404027633015,6287117.0,3.28579998016357,7.32211780548096,12.996654510498,3.0525643825531,7.01173877716064,14.5982427597046,23.6655311584473,1.44820284843445
Cambodia,2021,47.2,82.5,77.1,98.9,725.390524089204,48.2283721430601,9341945.0,6.1717700958252,16.44873046875,29.0128993988037,4.16995286941528,7.72569990158081,35.2416610717773,52.8918418884277,3.23664999008179
Cambodia,2022,53.5,92.3,88.0,99.0,813.232441120437,48.0629233888112,9572466.0,11.109017133712795,56.36000061035155,61.43499755859375,18.743927478790283,21.2688384056091,70.7050018310547,77.36000061035155,9.666329383850076
Cambodia,2023,54.05,95.0,93.4,99.5,2920.94086874386,48.025143580142,9740379.0,11.095795392990095,56.87314987182615,61.70941734313965,19.979273319244385,22.1637597084045,90.2050018310547,90.21500015258789,10.268817901611325
Canada,2021,100.0,100.0,100.0,100.0,14782.8716127233,47.0485134191502,21005652.0,27.6700000762939,95.6152420043945,96.2860412597656,62.9199981689453,61.4599990844727,95.6152420043945,96.2860412597656,30.8999996185303
Canada,2022,100.0,100.0,100.0,100.0,14591.314180806,47.3471242301123,21456376.0,30.7867393493652,95.9839477539062,96.2347412109375,68.6005935668945,65.8976440429688,95.9839477539062,96.2347412109375,33.855339050293
